Id,Platform,Manufacturer
0,PC,Various
1,Odyssey,Magnavox
2,Telstar,Coleco
3,Fairchild Channel F,Fairchild
4,Atari 2600,Atari
5,Bally Astrocade,Bally
6,Odyssey 2,Magnavox
7,Intellivision,Mattel
8,Emerson Arcadia 2001,Emerson
9,ColecoVision,Coleco
10,Atari 5200,Atari
11,Vectrex,Milton Bradley
12,SG-1000,Sega
13,Famicom,Nintendo
14,Nintendo Entertainment System,Nintendo
15,Sega Mark III,Sega
16,Master System,Sega
17,Atari 7800,Atari
18,Casio PV-1000,Casio
19,Nichibutsu My Vision,Nichibutsu
20,Philips Videopac + G7400,Philips
21,Super Cassette Vision,Epoch
22,Zemmix,Daewoo
23,Dina,Bit Corporation
24,Atari XEGS,Atari
25,Action Max,Worlds of Wonder
26,Vtech Socrates,Vtech
27,Amstrad GX4000,Amstrad
28,Commodore 64 Games System,Commodore
29,PC Engine,"NEC, Hudson Soft"
30,TurboGrafx-16,"NEC, Hudson Soft"
31,Mega Drive,Sega
32,Genesis,Sega
33,Super Famicom,Nintendo
34,Super Nintendo Entertainment System,Nintendo
35,Neo Geo,SNK
36,Commodore CDTV,Commodore
37,Philips CD-i,Philips
38,Pioneer LaserActive,Pioneer
39,Neo Geo CD,SNK
40,Super A'Can,Funtech
41,3DO,3DO
42,Atari Jaguar,Atari
43,Sega Saturn,Sega
44,PlayStation,Sony
45,Nintendo 64,Nintendo
46,FM Towns Marty,Fujitsu
47,Amiga CD32,Amiga
48,CPS Changer,Capcom
49,PC-FX,NEC
50,Pippin,"Apple, Bandai"
51,Playdia,Bandai
52,Casio Loopy,Casio
53,32X,Sega
54,Atari Jaguar CD,Atari
55,Nintendo 64DD,Nintendo
56,Dreamcast,Sega
57,PlayStation 2,Sony
58,GameCube,Nintendo
59,Xbox,Microsoft
60,Nuon,Samsung
61,V.Smile,Vtech
62,XaviX,SSD Company
63,Xbox 360,Microsoft
64,PlayStation 3,Sony
65,Wii,Nintendo
66,Wii U,Nintendo
67,PlayStation 4,Sony
68,PlayStation 4 Pro,Sony
69,Xbox One,Microsoft
70,Xbox One X,Microsoft
71,Sega CD,Sega
72,Game Boy,Nintendo
73,Atari Lynx,Atari
74,Game Gear,Sega
75,TurboExpress,NEC
76,Gamate,Bit Corporation
77,Watara Supervision,Watara
78,Mega Duck / Cougar Boy,Welback Holdings
79,Genesis Nomad,Sega
80,R-Zone,Tiger Electronics
81,Virtual Boy,Nintendo
82,Game.com,Tiger Electronics
83,Game Boy Color,Nintendo
84,Neo Geo Pocket,SNK
85,Pocketstation,Sony
86,WonderSwan,Bandai
87,WonderSwan Color,Bandai
88,Game Boy Advance,Nintendo
89,N-Gage,Nokia
90,Tapwave Zodiac,Tapwave
91,Neo Geo Pocket Color,SNK
92,Pokemon Mini,Nintendo
93,Nintendo DS,Nintendo
94,PlayStation Portable,Sony
95,Nintendo 3DS,Nintendo
96,New Nintendo 3DS,Nintendo
97,PlayStation Vita,Sony
